cohort	unit	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	fdr_within_unit
TNBC94 extension	30	cd8_cytotoxic	1189	298	0.017205178792756112	0.0031239918650437723	0.01408118692771234	0.0009995002498750624	0.0013326669998334165
TNBC94 extension	30	tcell_exhaustion	1189	298	0.006790467466100243	0.0016240900947933623	0.005166377371306881	0.020989505247376312	0.020989505247376312
TNBC94 extension	30	tcell_ifng_response	1189	298	0.02124099475460975	-0.0004358360641205858	0.021676830818730335	0.0004997501249375312	0.0009995002498750624
TNBC94 extension	30	tcell_progenitor	1189	298	0.03895623328473102	0.010852878261583945	0.028103355023147078	0.0004997501249375312	0.0009995002498750624
TNBC94 extension	31	cd8_cytotoxic	689	173	-0.029292264664978113	0.0018007745889087046	-0.031093039253886817	0.001999000499750125	0.005997001499250375
TNBC94 extension	31	tcell_exhaustion	689	173	-0.011370394424315394	0.0005636312481930028	-0.011934025672508397	0.04047976011994003	0.05397301349325337
TNBC94 extension	31	tcell_ifng_response	689	173	-0.013262832270051872	-0.0015377611376633515	-0.01172507113238852	0.3243378310844578	0.3243378310844578
TNBC94 extension	31	tcell_progenitor	689	173	-0.038587343234395666	0.003937700427072061	-0.042525043661467726	0.0029985007496251873	0.005997001499250375
TNBC94 extension	32	cd8_cytotoxic	726	182	0.017731731161208304	0.0043461350373597	0.013385596123848605	0.0074962518740629685	0.029985007496251874
TNBC94 extension	32	tcell_exhaustion	726	182	0.0069692922762678855	0.0007324902555664523	0.006236802020701433	0.09195402298850575	0.1839080459770115
TNBC94 extension	32	tcell_ifng_response	726	182	-0.00697891653028615	-0.00905890724366809	0.0020799907133819406	0.8825587206396801	0.8825587206396801
TNBC94 extension	32	tcell_progenitor	726	182	0.02319285687880776	0.013109462386975884	0.010083394491831876	0.31784107946026985	0.4237881059470265
TNBC94 extension	33	cd8_cytotoxic	1119	280	0.008906711894524487	0.0005813268060739056	0.008325385088450581	0.014492753623188406	0.028985507246376812
TNBC94 extension	33	tcell_exhaustion	1119	280	0.006849805009757889	0.0011164568002169743	0.005733348209540915	0.02798600699650175	0.03731467599533567
TNBC94 extension	33	tcell_ifng_response	1119	280	0.012925914736583638	0.0011162865456218196	0.011809628190961818	0.0029985007496251873	0.01199400299850075
TNBC94 extension	33	tcell_progenitor	1119	280	0.004852168583480004	0.00256008888987775	0.0022920796936022544	0.6946526736631684	0.6946526736631684
TNBC94 extension	34	cd8_cytotoxic	444	111	0.015108203285613395	0.0062504588575878935	0.008857744428025501	0.10994502748625687	0.14659336998167583
TNBC94 extension	34	tcell_exhaustion	444	111	0.017748205924689238	0.003996042927790867	0.013752162996898371	0.010994502748625687	0.04397801099450275
TNBC94 extension	34	tcell_ifng_response	444	111	0.030855244736522305	0.00882753444071592	0.022027710295806385	0.03498250874562719	0.06996501749125437
TNBC94 extension	34	tcell_progenitor	444	111	0.01133556423350604	0.002840337909118841	0.0084952263243872	0.2353823088455772	0.2353823088455772
TNBC94 extension	35	cd8_cytotoxic	869	218	0.07062989600045454	0.024209180301024917	0.04642071569942962	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	35	tcell_exhaustion	869	218	0.02280585927329193	0.007090372235915743	0.015715487037376186	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	35	tcell_ifng_response	869	218	0.04450580335567331	0.0096001799945611	0.034905623361112206	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	35	tcell_progenitor	869	218	0.06588217160382	0.025289859168596225	0.04059231243522377	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	36	cd8_cytotoxic	1062	266	0.006032737586761887	0.002671037276059357	0.00336170031070253	0.012993503248375811	0.021322671997334664
TNBC94 extension	36	tcell_exhaustion	1062	266	0.01694022666367502	0.0063741471034661126	0.010566079560208908	0.0004997501249375312	0.001999000499750125
TNBC94 extension	36	tcell_ifng_response	1062	266	0.011264466833487433	0.0027132097852965997	0.008551257048190833	0.015992003998001	0.021322671997334664
TNBC94 extension	36	tcell_progenitor	1062	266	0.00817044023721188	0.004279051091572944	0.0038913891456389352	0.16391804097951024	0.16391804097951024
TNBC94 extension	37	cd8_cytotoxic	1511	378	0.014159529712574684	0.00037137864217758054	0.013788151070397103	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	37	tcell_exhaustion	1511	378	0.009772527715773818	-2.1889998836149838e-05	0.009794417714609968	0.0004997501249375312	0.0006663334999167083
