validation_program	rank	gene	loading
B6	34	VCAN	0.5579758663040291
B6	35	CTNNB1	0.5103756254886397
B6	36	CD36	0.4684361883178303
B6	37	HIF1A-AS3	0.44854319926811165
B6	38	TCHH	0.3327596404545882
B6	39	ANGPTL4	0.321808236236601
B6	40	SH3BP1	0.2883838164853319
B6	41	HSPB1	0.2875808346873916
B6	42	HIST1H4C	0.27859195336412357
B6	43	BIN1	0.2677652947581225
B6	44	CD52	0.26719018802970895
B6	45	MEF2C	0.25965599104084824
B6	46	MT-ND6	0.2572859149847099
B6	47	FCN1	0.25692403084830795
B6	48	MGP	0.2545114262358547
B6	49	IL23A	0.23576538556121845
B6	50	PAPSS2	0.22038427525018559
