cohort	treatment	subcluster	cells
Patient20	PD1	myeloid_03	358
Patient20	PD1	myeloid_04	14
Patient20	PD1	myeloid_05	72
Patient20	PD1	myeloid_06	210
Patient20	PD1	myeloid_07	19
Patient20	PD1	myeloid_08	4
Patient20	PD1	myeloid_09	36
Patient20	PD1	myeloid_10	12
Patient20	PD1	myeloid_11	478
Patient20	RTPD1	myeloid_00	9
Patient20	RTPD1	myeloid_01	55
Patient20	RTPD1	myeloid_02	73
Patient20	RTPD1	myeloid_03	150
Patient20	RTPD1	myeloid_04	245
Patient20	RTPD1	myeloid_05	8
Patient20	RTPD1	myeloid_07	19
Patient20	RTPD1	myeloid_08	13
Patient20	RTPD1	myeloid_09	25
Patient20	RTPD1	myeloid_10	107
Patient20	RTPD1	myeloid_11	286
Patient23	Base	myeloid_00	95
Patient23	Base	myeloid_01	22
Patient23	Base	myeloid_02	1498
Patient23	Base	myeloid_03	382
Patient23	Base	myeloid_04	181
Patient23	Base	myeloid_05	40
Patient23	Base	myeloid_06	18
Patient23	Base	myeloid_07	23
Patient23	Base	myeloid_08	61
Patient23	Base	myeloid_09	244
Patient23	Base	myeloid_10	70
Patient23	Base	myeloid_11	909
Patient23	PD1	myeloid_00	2
Patient23	PD1	myeloid_01	24
Patient23	PD1	myeloid_02	1
Patient23	PD1	myeloid_03	29
Patient23	PD1	myeloid_04	107
Patient23	PD1	myeloid_05	1
Patient23	PD1	myeloid_08	6
Patient23	PD1	myeloid_09	26
Patient23	PD1	myeloid_10	3
Patient23	PD1	myeloid_11	6
Patient23	RTPD1	myeloid_00	1
Patient23	RTPD1	myeloid_01	4
Patient23	RTPD1	myeloid_02	2
Patient23	RTPD1	myeloid_03	29
Patient23	RTPD1	myeloid_04	14
Patient23	RTPD1	myeloid_05	2
Patient23	RTPD1	myeloid_07	1
Patient23	RTPD1	myeloid_09	12
Patient23	RTPD1	myeloid_10	73
Patient23	RTPD1	myeloid_11	10
Patient26	Base	myeloid_00	12
Patient26	Base	myeloid_01	111
Patient26	Base	myeloid_02	26
Patient26	Base	myeloid_03	28
Patient26	Base	myeloid_04	66
Patient26	Base	myeloid_05	58
Patient26	Base	myeloid_06	60
Patient26	Base	myeloid_08	2
Patient26	Base	myeloid_09	12
Patient26	Base	myeloid_10	4
Patient26	Base	myeloid_11	136
Patient26	PD1	myeloid_00	52
Patient26	PD1	myeloid_01	4
Patient26	PD1	myeloid_02	1
Patient26	PD1	myeloid_03	3
Patient26	PD1	myeloid_04	27
Patient26	PD1	myeloid_05	83
Patient26	PD1	myeloid_06	1
Patient26	PD1	myeloid_07	2
Patient26	PD1	myeloid_10	457
Patient26	PD1	myeloid_11	40
Patient26	RTPD1	myeloid_00	1682
Patient26	RTPD1	myeloid_01	379
Patient26	RTPD1	myeloid_02	6
Patient26	RTPD1	myeloid_03	98
Patient26	RTPD1	myeloid_04	172
Patient26	RTPD1	myeloid_05	33
Patient26	RTPD1	myeloid_06	7
Patient26	RTPD1	myeloid_07	18
Patient26	RTPD1	myeloid_08	31
Patient26	RTPD1	myeloid_09	57
Patient26	RTPD1	myeloid_10	132
Patient26	RTPD1	myeloid_11	1532
Patient30	Base	myeloid_02	2
Patient30	Base	myeloid_04	3
Patient30	Base	myeloid_05	6
Patient30	Base	myeloid_06	3
Patient30	Base	myeloid_07	2
Patient30	Base	myeloid_09	2
Patient30	Base	myeloid_10	2
Patient30	Base	myeloid_11	21
Patient30	PD1	myeloid_00	2
Patient30	PD1	myeloid_01	7
Patient30	PD1	myeloid_02	89
Patient30	PD1	myeloid_03	338
Patient30	PD1	myeloid_04	22
Patient30	PD1	myeloid_05	42
Patient30	PD1	myeloid_06	2
Patient30	PD1	myeloid_07	28
Patient30	PD1	myeloid_08	19
Patient30	PD1	myeloid_09	102
Patient30	PD1	myeloid_10	5
Patient30	PD1	myeloid_11	624
Patient30	RTPD1	myeloid_00	57
Patient30	RTPD1	myeloid_01	6
Patient30	RTPD1	myeloid_02	10
Patient30	RTPD1	myeloid_03	114
Patient30	RTPD1	myeloid_04	130
Patient30	RTPD1	myeloid_05	40
Patient30	RTPD1	myeloid_06	3
Patient30	RTPD1	myeloid_07	36
Patient30	RTPD1	myeloid_08	36
Patient30	RTPD1	myeloid_09	58
Patient30	RTPD1	myeloid_10	64
Patient30	RTPD1	myeloid_11	1326
Patient39	Base	myeloid_00	5
Patient39	Base	myeloid_01	8
Patient39	Base	myeloid_03	17
Patient39	Base	myeloid_04	9
Patient39	Base	myeloid_09	2
Patient39	Base	myeloid_11	25
Patient39	PD1	myeloid_00	2
Patient39	PD1	myeloid_01	59
Patient39	PD1	myeloid_02	10
Patient39	PD1	myeloid_03	168
Patient39	PD1	myeloid_04	120
Patient39	PD1	myeloid_05	20
Patient39	PD1	myeloid_07	16
Patient39	PD1	myeloid_08	17
Patient39	PD1	myeloid_09	120
Patient39	PD1	myeloid_10	387
Patient39	PD1	myeloid_11	107
Patient39	RTPD1	myeloid_01	4
Patient39	RTPD1	myeloid_02	1
Patient39	RTPD1	myeloid_03	29
Patient39	RTPD1	myeloid_04	134
Patient39	RTPD1	myeloid_08	2
Patient39	RTPD1	myeloid_09	30
Patient39	RTPD1	myeloid_10	25
Patient39	RTPD1	myeloid_11	11
Patient42	Base	myeloid_01	10
Patient42	Base	myeloid_03	40
Patient42	Base	myeloid_04	511
Patient42	Base	myeloid_05	3
Patient42	Base	myeloid_07	8
Patient42	Base	myeloid_08	11
Patient42	Base	myeloid_09	60
Patient42	Base	myeloid_10	2
Patient42	Base	myeloid_11	15
Patient42	PD1	myeloid_00	4
Patient42	PD1	myeloid_01	13
Patient42	PD1	myeloid_02	3
Patient42	PD1	myeloid_03	86
Patient42	PD1	myeloid_04	9
Patient42	PD1	myeloid_05	12
